---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 52-3s 3.727e+02  [-139 1.061e-07 3.890e-08 3.780e-05]  [1339 -1 60]
 ST 53-1  3.776e+02  [0 1.000e+00 4.938e-01 9.977e-06]  [1198 -1 52]
 ST 53-2  3.795e+02  [-67 4.238e-04 2.093e-04 9.967e-06]  [1432 0 61]
 ST 53-3s 3.812e+02  [-143 6.825e-08 3.371e-08 4.371e-05]  [1364 -2 58]
 ST 54-1  3.846e+02  [0 1.000e+00 2.666e-01 9.953e-06]  [1390 -1 28]
 ST 54-2  3.863e+02  [-64 6.266e-04 1.670e-04 9.980e-06]  [1400 -1 62]
 ST 54-3s 3.880e+02  [-140 9.622e-08 2.565e-08 5.730e-05]  [1311 -2 60]
 ST 55-1  3.913e+02  [0 1.000e+00 3.455e-01 9.939e-06]  [1307 -2 28]
 ST 55-2  3.929e+02  [-66 4.576e-04 1.581e-04 9.988e-06]  [1335 0 59]
 ST 55-3s 3.944e+02  [-142 7.368e-08 2.546e-08 5.779e-05]  [1205 -2 56]
 ST 56-1  3.981e+02  [0 1.000e+00 2.477e-01 9.991e-06]  [1361 -2 29]
 ST 56-2  3.999e+02  [-66 4.970e-04 1.231e-04 9.995e-06]  [1434 0 60]
 ST 56-3s 4.015e+02  [-141 8.312e-08 2.059e-08 7.137e-05]  [1265 -2 59]
 ST 57-1  4.062e+02  [0 1.000e+00 2.715e-01 9.954e-06]  [1370 -2 25]
 ST 57-2  4.080e+02  [-67 4.096e-04 1.112e-04 9.961e-06]  [1458 -2 58]
 ST 57-3s 4.113e+02  [-143 6.780e-08 1.841e-08 7.995e-05]  [1280 0 80]
 ST 58-1  4.149e+02  [0 1.000e+00 2.359e-01 1.000e-05]  [1269 -2 26]
 ST 58-2  4.166e+02  [-67 4.066e-04 9.589e-05 9.983e-06]  [1405 -2 59]
 ST 58-3s 4.182e+02  [-144 6.293e-08 1.484e-08 9.935e-05]  [1244 -1 57]
 ST 59-1  4.221e+02  [0 1.000e+00 2.309e-01 9.980e-06]  [1213 -2 26]
 ST 59-2  4.237e+02  [-69 3.505e-04 8.094e-05 9.963e-06]  [1465 -2 61]
 ST 59-3s 4.252e+02  [-146 4.993e-08 1.153e-08 1.278e-04]  [1193 -1 56]
 ST 60-1  4.285e+02  [0 1.000e+00 2.184e-01 9.967e-06]  [1299 -1 28]
 ST 60-2  4.302e+02  [-69 3.512e-04 7.669e-05 9.955e-06]  [1440 0 61]
 ST 60-3s 4.317e+02  [-145 5.026e-08 1.097e-08 1.339e-04]  [1186 -1 56]
 ST 61-1  4.351e+02  [0 1.000e+00 2.068e-01 9.980e-06]  [1242 -1 28]
 ST 61-2  4.371e+02  [-70 3.156e-04 6.526e-05 9.948e-06]  [1451 -1 61]
 ST 61-3s 4.387e+02  [-146 4.953e-08 1.024e-08 1.436e-04]  [1156 -2 54]
 ST 62-1  4.422e+02  [0 1.000e+00 1.988e-01 9.993e-06]  [1346 -1 27]
 ST 62-2  4.457e+02  [-70 3.053e-04 6.069e-05 9.970e-06]  [1530 -3 80]
 ST 62-3s 4.472e+02  [-146 5.000e-08 9.942e-09 1.483e-04]  [1139 -1 56]
 ST 63-1  4.506e+02  [0 1.000e+00 1.907e-01 9.985e-06]  [1344 -1 28]
 ST 63-2  4.523e+02  [-70 2.878e-04 5.489e-05 9.982e-06]  [1554 -1 62]
 ST 63-3s 4.539e+02  [-146 4.713e-08 8.988e-09 1.633e-04]  [1122 -3 57]
 ST 64-1  4.574e+02  [0 1.000e+00 1.797e-01 9.958e-06]  [1219 -2 24]
 ST 64-2  4.590e+02  [-71 2.637e-04 4.739e-05 9.972e-06]  [1555 -1 62]
 ST 64-3s 4.604e+02  [-147 4.170e-08 7.495e-09 1.968e-04]  [1083 0 51]
 ST 65-1  4.639e+02  [0 1.000e+00 1.795e-01 9.994e-06]  [1188 -1 25]
 ST 65-2  4.655e+02  [-72 2.466e-04 4.426e-05 9.984e-06]  [1433 0 62]
 ST 65-3s 4.670e+02  [-149 3.337e-08 5.989e-09 2.462e-04]  [990 -1 52]
 ST 66-1  4.705e+02  [0 1.000e+00 1.650e-01 9.997e-06]  [1184 0 25]
 ST 66-2  4.722e+02  [-72 2.315e-04 3.820e-05 9.980e-06]  [1455 -1 60]
