CaseNum,Radius,Height,Thickness
286.000,2.100,8.862,0.600
287.000,2.100,9.103,0.600
288.000,2.100,9.345,0.600
289.000,2.100,9.586,0.600
290.000,2.100,9.828,0.600
291.000,2.100,10.069,0.600
292.000,2.100,10.310,0.600
293.000,2.100,10.552,0.600
294.000,2.100,10.793,0.600
295.000,2.100,11.034,0.600
296.000,2.100,11.276,0.600
297.000,2.100,11.517,0.600
298.000,2.100,11.759,0.600
299.000,2.100,12.000,0.600
300.000,2.100,5.000,0.850
301.000,2.100,5.241,0.850
302.000,2.100,5.483,0.850
303.000,2.100,5.724,0.850
304.000,2.100,5.966,0.850
305.000,2.100,6.207,0.850
306.000,2.100,6.448,0.850
307.000,2.100,6.690,0.850
308.000,2.100,6.931,0.850
309.000,2.100,7.172,0.850
310.000,2.100,7.414,0.850
311.000,2.100,7.655,0.850
312.000,2.100,7.897,0.850
313.000,2.100,8.138,0.850
314.000,2.100,8.379,0.850
315.000,2.100,8.621,0.850
316.000,2.100,8.862,0.850
317.000,2.100,9.103,0.850
318.000,2.100,9.345,0.850
319.000,2.100,9.586,0.850
320.000,2.100,9.828,0.850
321.000,2.100,10.069,0.850
322.000,2.100,10.310,0.850
323.000,2.100,10.552,0.850
324.000,2.100,10.793,0.850
325.000,2.100,11.034,0.850
326.000,2.100,11.276,0.850
327.000,2.100,11.517,0.850
328.000,2.100,11.759,0.850
329.000,2.100,12.000,0.850
330.000,2.100,5.000,1.100
331.000,2.100,5.241,1.100
332.000,2.100,5.483,1.100
333.000,2.100,5.724,1.100
334.000,2.100,5.966,1.100
335.000,2.100,6.207,1.100
336.000,2.100,6.448,1.100
337.000,2.100,6.690,1.100
338.000,2.100,6.931,1.100
339.000,2.100,7.172,1.100
340.000,2.100,7.414,1.100
341.000,2.100,7.655,1.100
342.000,2.100,7.897,1.100
343.000,2.100,8.138,1.100
344.000,2.100,8.379,1.100
345.000,2.100,8.621,1.100
346.000,2.100,8.862,1.100
347.000,2.100,9.103,1.100
348.000,2.100,9.345,1.100
349.000,2.100,9.586,1.100
350.000,2.100,9.828,1.100
351.000,2.100,10.069,1.100
352.000,2.100,10.310,1.100
353.000,2.100,10.552,1.100
354.000,2.100,10.793,1.100
355.000,2.100,11.034,1.100
356.000,2.100,11.276,1.100
357.000,2.100,11.517,1.100
358.000,2.100,11.759,1.100
359.000,2.100,12.000,1.100
360.000,2.500,5.000,0.600
361.000,2.500,5.241,0.600
362.000,2.500,5.483,0.600
363.000,2.500,5.724,0.600
364.000,2.500,5.966,0.600
365.000,2.500,6.207,0.600
366.000,2.500,6.448,0.600
367.000,2.500,6.690,0.600
368.000,2.500,6.931,0.600
369.000,2.500,7.172,0.600
