---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 42-3s 1.027e+02  [-193 2.120e-10 1.485e-11 6.097e-02]  [529 -1 56]
 ST 43-1  1.044e+02  [0 1.000e+00 7.126e-02 9.967e-06]  [1566 -2 51]
 ST 43-2  1.065e+02  [-97 1.295e-05 9.230e-07 9.960e-06]  [2267 -1 74]
 ST 43-3s 1.068e+02  [-193 2.190e-10 1.560e-11 5.732e-02]  [147 -6 25]
 ST 44-1  1.084e+02  [0 1.000e+00 7.228e-02 9.965e-06]  [1548 -1 48]
 ST 44-2  1.097e+02  [-98 1.156e-05 8.353e-07 9.967e-06]  [2081 -2 83]
 ST 44-3s 1.102e+02  [-193 2.109e-10 1.524e-11 5.944e-02]  [476 -1 53]
 ST 45-1  1.116e+02  [0 1.000e+00 7.321e-02 9.957e-06]  [1362 -2 49]
 ST 45-2  1.130e+02  [-99 1.059e-05 7.752e-07 9.947e-06]  [2179 -1 84]
 ST 45-3s 1.135e+02  [-193 2.003e-10 1.466e-11 6.171e-02]  [472 -1 53]
 ST 46-1  1.150e+02  [0 1.000e+00 7.441e-02 9.990e-06]  [1232 0 44]
 ST 46-2  1.166e+02  [-99 1.115e-05 8.295e-07 9.978e-06]  [2366 -1 85]
 ST 46-3s 1.170e+02  [-193 2.052e-10 1.527e-11 5.936e-02]  [273 -2 39]
 ST 47-1  1.184e+02  [0 1.000e+00 7.559e-02 9.969e-06]  [1305 -1 45]
 ST 47-2  1.198e+02  [-99 1.034e-05 7.820e-07 9.975e-06]  [2185 -2 83]
 ST 47-3s 1.203e+02  [-194 1.993e-10 1.507e-11 6.019e-02]  [458 -2 53]
 ST 48-1  1.220e+02  [0 1.000e+00 7.663e-02 9.989e-06]  [1529 -2 50]
 ST 48-2  1.237e+02  [-98 1.138e-05 8.719e-07 9.980e-06]  [2725 -1 86]
 ST 48-3s 1.241e+02  [-193 2.014e-10 1.544e-11 5.866e-02]  [151 -7 27]
 ST 49-1  1.258e+02  [0 1.000e+00 7.785e-02 9.949e-06]  [1562 -1 48]
 ST 49-2  1.274e+02  [-97 1.298e-05 1.010e-06 9.981e-06]  [2067 -1 82]
 ST 49-3s 1.278e+02  [-193 2.102e-10 1.637e-11 5.458e-02]  [161 -1 27]
 ST 50-1  1.297e+02  [0 1.000e+00 7.914e-02 9.973e-06]  [1485 0 49]
 ST 50-2  1.317e+02  [-99 1.073e-05 8.494e-07 9.980e-06]  [2775 -1 85]
 ST 50-3s 1.321e+02  [-194 1.979e-10 1.566e-11 5.798e-02]  [260 0 39]
 ST 51-1  1.338e+02  [0 1.000e+00 8.033e-02 9.962e-06]  [1286 0 42]
 ST 51-2  1.357e+02  [-99 1.049e-05 8.423e-07 9.984e-06]  [2552 0 88]
 ST 51-3s 1.367e+02  [-194 1.955e-10 1.571e-11 5.774e-02]  [541 -1 28]
 ST 52-1  1.380e+02  [0 1.000e+00 8.159e-02 9.968e-06]  [1125 0 40]
 ST 52-2  1.398e+02  [-99 1.071e-05 8.734e-07 1.000e-05]  [2717 -1 89]
