---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 38-2  1.468e+01  [-34 1.796e-02 5.053e+02 9.760e-06]  [186 -14 15]
 ST 38-3s 1.476e+01  [-116 1.480e-06 4.165e-02 9.755e-06]  [253 -18 16]
 ST 39-1  1.499e+01  [0 1.000e+00 2.876e+04 9.760e-06]  [264 -2 6]
 ST 39-2  1.506e+01  [-37 1.314e-02 3.779e+02 9.781e-06]  [193 -17 14]
 ST 39-3s 1.515e+01  [-115 1.632e-06 4.694e-02 9.829e-06]  [233 -12 12]
 ST 40-1  1.544e+01  [0 1.000e+00 2.281e+04 9.932e-06]  [257 0 4]
 ST 40-2  1.550e+01  [-36 1.485e-02 3.388e+02 9.722e-06]  [199 -20 16]
 ST 40-3s 1.558e+01  [-122 7.670e-07 1.750e-02 9.740e-06]  [250 -18 15]
 ST 41-1  1.585e+01  [0 1.000e+00 1.732e+04 9.821e-06]  [261 -1 4]
 ST 41-2  1.591e+01  [-36 1.547e-02 2.680e+02 9.816e-06]  [225 -7 16]
 ST 41-3s 1.599e+01  [-125 5.263e-07 9.115e-03 9.961e-06]  [273 -6 17]
 ST 42-1  1.631e+01  [0 1.000e+00 1.450e+04 9.776e-06]  [261 -1 4]
 ST 42-2  1.637e+01  [-40 9.862e-03 1.430e+02 9.719e-06]  [214 -3 16]
 ST 42-3s 1.645e+01  [-135 1.639e-07 2.376e-03 9.980e-06]  [284 -11 17]
 ST 43-1  1.671e+01  [0 1.000e+00 1.298e+04 9.879e-06]  [244 -16 5]
 ST 43-2  1.677e+01  [-33 2.096e-02 2.720e+02 9.824e-06]  [189 -14 15]
 ST 43-3s 1.684e+01  [-131 2.620e-07 3.400e-03 9.512e-06]  [272 -7 18]
 ST 44-1  1.709e+01  [0 1.000e+00 1.044e+04 9.964e-06]  [260 -1 6]
 ST 44-2  1.715e+01  [-42 7.864e-03 8.206e+01 9.556e-06]  [201 -20 19]
 ST 44-3s 1.723e+01  [-139 1.092e-07 1.139e-03 9.598e-06]  [283 -11 20]
 ST 45-1  1.752e+01  [0 1.000e+00 9.321e+03 9.658e-06]  [253 -20 4]
 ST 45-2  1.758e+01  [-32 2.474e-02 2.306e+02 9.979e-06]  [180 -10 15]
 ST 45-3s 1.767e+01  [-127 4.399e-07 4.100e-03 9.867e-06]  [262 -2 17]
 ST 46-1  1.790e+01  [0 1.000e+00 9.314e+03 9.998e-06]  [240 -16 5]
 ST 46-2  1.797e+01  [-50 3.006e-03 2.800e+01 9.957e-06]  [194 -17 14]
 ST 46-3s 1.804e+01  [-150 3.047e-08 2.838e-04 1.373e-05]  [266 -5 19]
 ST 47-1  1.830e+01  [0 1.000e+00 1.164e+04 9.827e-06]  [239 -15 4]
 ST 47-2  1.837e+01  [-34 1.782e-02 2.074e+02 9.964e-06]  [190 -16 13]
 ST 47-3s 1.844e+01  [-130 3.002e-07 3.494e-03 9.638e-06]  [246 -18 16]
 ST 48-1  1.867e+01  [0 1.000e+00 6.495e+03 9.620e-06]  [245 -17 6]
 ST 48-2  1.873e+01  [-44 6.082e-03 3.950e+01 9.949e-06]  [189 -16 15]
 ST 48-3s 1.881e+01  [-143 6.968e-08 4.526e-04 9.881e-06]  [269 -5 17]
 ST 49-1  1.903e+01  [0 1.000e+00 9.105e+03 9.842e-06]  [234 -13 5]
 ST 49-2  1.910e+01  [-37 1.300e-02 1.184e+02 9.471e-06]  [186 -14 15]
 ST 49-3s 1.917e+01  [-134 1.822e-07 1.659e-03 9.773e-06]  [267 -4 18]
 ST 50-1  1.945e+01  [0 1.000e+00 7.828e+03 9.799e-06]  [239 -15 4]
 ST 50-2  1.951e+01  [-47 4.089e-03 3.201e+01 9.785e-06]  [191 -17 13]
 ST 50-3s 1.960e+01  [-147 4.073e-08 3.188e-04 1.209e-05]  [253 -22 16]
 ST 51-1  1.982e+01  [0 1.000e+00 9.228e+03 9.540e-06]  [228 -10 5]
 ST 51-2  1.989e+01  [-41 8.123e-03 7.496e+01 9.627e-06]  [188 -15 14]
 ST 51-3s 1.997e+01  [-140 9.441e-08 8.713e-04 9.726e-06]  [246 -20 15]
 ST 52-1  2.020e+01  [0 1.000e+00 5.719e+03 9.820e-06]  [240 -16 6]
 ST 52-2  2.026e+01  [-45 5.094e-03 2.914e+01 9.757e-06]  [189 -16 15]
 ST 52-3s 2.034e+01  [-145 5.269e-08 3.013e-04 1.303e-05]  [259 -1 16]
