gamma,n
1.625160,1.628770
1.360799,1.567717
1.616296,1.626421
1.828994,1.691666
1.396239,1.517325
1.479746,1.525095
1.595941,1.540885
1.782180,1.569968
1.951882,1.610428
1.892017,1.575853
1.784057,1.530402
2.046634,1.572120
2.178033,1.601304
2.220467,1.589034
2.082029,1.539332
2.294130,1.566628
2.280262,1.559962
2.550091,1.571308
3.031537,1.640318
2.630235,1.549899
2.377624,1.506332
2.475542,1.518231
2.779910,1.528546
2.722674,1.509056
2.985831,1.555923
3.362866,1.588720
2.941900,1.533115
2.814932,1.469056
3.983953,1.617953
3.530223,1.530333
4.221224,1.619705
3.539682,1.531504
3.751210,1.552040
3.164863,1.485880
1.041109,1.573820
1.130844,1.591271
1.125446,1.582116
1.293524,1.630402
1.127751,1.564939
1.299258,1.609504
1.470059,1.649618
1.353782,1.608926
1.376958,1.601317
1.448504,1.608387
1.461135,1.596076
1.513008,1.601574
2.104161,1.730031
1.706866,1.626777
1.718999,1.614286
1.823907,1.641094
1.906951,1.634636
2.025706,1.654260
2.240454,1.696012
2.170050,1.662072
2.004210,1.614993
2.009534,1.593482
2.237853,1.651099
2.869007,1.731494
2.615499,1.679483
2.704471,1.686349
2.705706,1.671148
2.590585,1.637996
2.721978,1.637484
2.649022,1.623682
0.836086,1.564785
0.933248,1.595140
1.139662,1.659686
0.999417,1.595247
1.012402,1.602003
1.060276,1.607305
1.102306,1.603569
1.269615,1.660143
1.346573,1.662094
1.712001,1.751426
1.365687,1.650564
1.676899,1.725123
1.711051,1.727596
1.700960,1.709931
1.630999,1.677572
1.366771,1.587820
2.175597,1.783792
1.643493,1.649169
2.051914,1.740459
2.641824,1.850634
2.402273,1.776312
2.008897,1.693217
2.331201,1.745788
2.611172,1.782635
1.703556,1.580180
1.884267,1.617612
3.121927,1.843376
2.180750,1.673196
2.825695,1.776455
2.468834,1.675391
1.141546,1.453913
1.275521,1.479668
1.299813,1.475030
1.325922,1.475118
1.477584,1.496967
1.600648,1.523355
1.494292,1.484844
1.765134,1.539348
1.929416,1.561968
1.922420,1.546940
1.909449,1.533162
1.989851,1.541411
2.045599,1.536248
2.011681,1.513209
2.395178,1.589084
2.627329,1.601831
2.395396,1.550333
2.726639,1.585199
2.470029,1.543442
2.912647,1.608486
2.549367,1.495965
2.623415,1.496737
2.718096,1.499336
3.540467,1.616373
2.908877,1.514991
2.805828,1.517363
3.173922,1.533059
3.314186,1.543355
3.694517,1.599425
3.869850,1.569176
0.812708,1.503647
0.876701,1.515568
0.853782,1.504632
0.965290,1.539136
0.931010,1.515940
1.005667,1.530691
0.982601,1.517206
1.061108,1.531737
1.253451,1.587672
1.213811,1.564205
1.370967,1.600471
1.272937,1.569572
1.328394,1.569110
1.442365,1.595074
1.418262,1.573039
1.689936,1.641332
1.501749,1.591991
1.605498,1.607301
1.634460,1.599846
1.645250,1.590617
1.630003,1.572891
1.884696,1.617048
1.847901,1.605329
1.633981,1.548694
1.726078,1.552045
1.532014,1.499532
2.067911,1.607957
2.219178,1.632415
2.116472,1.622524
2.321611,1.624789
0.624582,1.493724
0.670942,1.508094
0.744528,1.531947
0.819775,1.555687
0.774667,1.536405
0.802290,1.538020
0.850659,1.549093
1.064128,1.615626
0.940312,1.568841
1.001786,1.588805
1.221079,1.643153
1.274229,1.657665
1.060655,1.571729
1.281095,1.642075
1.492592,1.684885
1.239398,1.598211
1.307061,1.614724
1.288746,1.600848
1.403935,1.631873
1.403574,1.621395
1.734051,1.708977
2.078951,1.760577
1.753527,1.694666
1.555768,1.635642
1.693481,1.639603
2.102608,1.740430
1.510095,1.583683
1.780616,1.635988
1.910873,1.682951
1.858599,1.654904
0.984895,1.404282
1.038457,1.411359
1.016715,1.393426
1.100121,1.414573
1.116101,1.410631
1.254364,1.441532
1.383013,1.465995
1.520197,1.493215
1.507452,1.478412
1.613743,1.494297
1.602139,1.485816
1.745463,1.507494
1.866940,1.521557
1.700951,1.474999
1.896181,1.511430
2.068189,1.537813
2.041711,1.517864
2.179554,1.529896
2.232349,1.529130
2.328852,1.537195
2.576017,1.564556
2.226916,1.504348
2.501935,1.538342
2.872444,1.581908
3.270874,1.631329
3.174322,1.595696
2.890180,1.545805
2.842379,1.525817
3.141570,1.564432
3.637351,1.607889
0.606112,1.414688
0.675848,1.439376
0.693089,1.438377
0.728600,1.446755
0.802971,1.471683
0.791967,1.458853
0.839126,1.469860
0.895548,1.482774
0.964219,1.500443
0.933975,1.488957
1.058797,1.518446
0.999297,1.492135
1.014085,1.488466
1.100580,1.511479
1.103809,1.507033
1.145375,1.501274
1.130328,1.496095
1.405213,1.572538
1.321837,1.536294
1.435412,1.558798
1.345090,1.529286
1.418602,1.541567
1.488188,1.541266
1.682097,1.588402
1.525061,1.545183
1.759250,1.589946
1.857138,1.597740
1.908009,1.600825
2.071839,1.636216
2.447720,1.708833
0.485055,1.433915
0.497597,1.430096
0.557245,1.455636
0.562489,1.456917
0.630575,1.479479
0.614996,1.468071
0.676240,1.489016
0.717450,1.500206
0.754356,1.510836
0.792514,1.520208
0.893477,1.552677
0.928273,1.558132
0.885149,1.536492
1.007101,1.576276
1.090553,1.601671
1.091687,1.585877
1.093682,1.584475
1.156377,1.599623
1.128172,1.579551
1.112906,1.581281
1.379432,1.639179
1.572332,1.683306
1.325090,1.605499
1.579891,1.669218
1.397428,1.620371
1.688557,1.688761
1.660073,1.677928
1.451617,1.605941
1.719150,1.660166
1.828994,1.691666
