---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 38-2  1.437e+01  [-38 1.134e-02 1.102e-01 9.745e-06]  [211 -2 17]
 ST 38-3s 1.444e+01  [-123 6.759e-07 6.571e-06 9.819e-06]  [245 -18 21]
 ST 39-1  1.470e+01  [0 1.000e+00 7.406e+00 9.768e-06]  [252 -18 5]
 ST 39-2  1.476e+01  [-39 1.041e-02 7.707e-02 9.723e-06]  [219 -4 16]
 ST 39-3s 1.483e+01  [-116 1.512e-06 1.120e-05 9.733e-06]  [234 -13 17]
 ST 40-1  1.509e+01  [0 1.000e+00 6.409e+00 9.998e-06]  [247 -16 5]
 ST 40-2  1.515e+01  [-40 9.737e-03 6.240e-02 9.818e-06]  [199 -20 18]
 ST 40-3s 1.521e+01  [-125 5.480e-07 3.512e-06 9.671e-06]  [252 -19 18]
 ST 41-1  1.547e+01  [0 1.000e+00 3.210e+00 9.693e-06]  [265 -3 6]
 ST 41-2  1.554e+01  [-36 1.445e-02 4.638e-02 9.713e-06]  [230 -9 18]
 ST 41-3s 1.561e+01  [-126 4.988e-07 1.601e-06 9.549e-06]  [270 -5 19]
 ST 42-1  1.589e+01  [0 1.000e+00 3.248e+00 9.916e-06]  [261 -1 5]
 ST 42-2  1.595e+01  [-42 7.717e-03 2.507e-02 9.881e-06]  [215 -3 19]
 ST 42-3s 1.602e+01  [-137 1.358e-07 4.412e-07 9.811e-06]  [283 -11 21]
 ST 43-1  1.627e+01  [0 1.000e+00 2.104e+00 9.706e-06]  [258 -1 6]
 ST 43-2  1.633e+01  [-33 2.100e-02 4.419e-02 9.681e-06]  [188 -14 15]
 ST 43-3s 1.640e+01  [-132 2.365e-07 4.975e-07 9.681e-06]  [286 -13 21]
 ST 44-1  1.666e+01  [0 1.000e+00 1.964e+00 9.741e-06]  [261 -1 5]
 ST 44-2  1.672e+01  [-42 7.822e-03 1.536e-02 9.895e-06]  [198 -18 19]
 ST 44-3s 1.679e+01  [-141 8.780e-08 1.724e-07 9.740e-06]  [277 -9 19]
 ST 45-1  1.867e+01  [0 1.000e+00 1.553e+00 9.634e-06]  [265 -3 1]
 ST 45-2  1.873e+01  [-31 2.661e-02 4.132e-02 9.859e-06]  [196 -18 15]
 ST 45-3s 1.880e+01  [-126 4.678e-07 7.263e-07 9.896e-06]  [276 -7 19]
 ST 46-1  1.905e+01  [0 1.000e+00 1.217e+00 9.665e-06]  [253 -21 5]
 ST 46-2  1.912e+01  [-42 7.716e-03 9.389e-03 9.604e-06]  [182 -12 16]
 ST 46-3s 1.919e+01  [-142 7.506e-08 9.132e-08 9.696e-06]  [262 -3 22]
 ST 47-1  1.945e+01  [0 1.000e+00 1.560e+00 9.812e-06]  [249 -19 5]
 ST 47-2  1.952e+01  [-34 1.976e-02 3.082e-02 9.626e-06]  [181 -10 16]
 ST 47-3s 1.959e+01  [-133 2.152e-07 3.356e-07 9.569e-06]  [251 -20 20]
 ST 48-1  1.985e+01  [0 1.000e+00 1.022e+00 9.967e-06]  [263 -2 6]
 ST 48-2  1.991e+01  [-38 1.138e-02 1.163e-02 9.478e-06]  [183 -12 13]
 ST 48-3s 1.997e+01  [-139 1.105e-07 1.129e-07 9.947e-06]  [243 -16 18]
 ST 49-1  2.023e+01  [0 1.000e+00 1.902e+00 9.641e-06]  [237 -14 5]
 ST 49-2  2.029e+01  [-40 9.680e-03 1.841e-02 9.754e-06]  [192 -17 17]
 ST 49-3s 2.036e+01  [-138 1.193e-07 2.270e-07 9.760e-06]  [272 -7 22]
 ST 50-1  2.064e+01  [0 1.000e+00 1.118e+00 9.936e-06]  [244 -18 5]
 ST 50-2  2.069e+01  [-39 1.048e-02 1.171e-02 9.625e-06]  [182 -11 16]
 ST 50-3s 2.076e+01  [-139 1.055e-07 1.179e-07 9.763e-06]  [248 -19 21]
 ST 51-1  2.099e+01  [0 1.000e+00 1.274e+00 9.474e-06]  [234 -13 5]
 ST 51-2  2.105e+01  [-42 7.700e-03 9.808e-03 9.591e-06]  [183 -13 14]
 ST 51-3s 2.112e+01  [-142 7.546e-08 9.612e-08 9.836e-06]  [242 -16 19]
 ST 52-1  2.135e+01  [0 1.000e+00 9.019e-01 9.807e-06]  [248 -19 5]
 ST 52-2  2.142e+01  [-41 8.636e-03 7.788e-03 9.877e-06]  [183 -12 14]
 ST 52-3s 2.148e+01  [-141 8.712e-08 7.857e-08 1.019e-05]  [239 -15 18]
 ST 53-1  2.174e+01  [0 1.000e+00 1.101e+00 9.775e-06]  [239 -16 6]
 ST 53-2  2.180e+01  [-42 7.512e-03 8.271e-03 9.872e-06]  [200 -20 16]
 ST 53-3s 2.187e+01  [-141 8.008e-08 8.818e-08 9.598e-06]  [265 -4 19]
 ST 54-1  2.214e+01  [0 1.000e+00 7.553e-01 9.674e-06]  [243 -18 4]
 ST 54-2  2.221e+01  [-44 6.208e-03 4.689e-03 9.935e-06]  [191 -17 15]
 ST 54-3s 2.227e+01  [-144 6.272e-08 4.737e-08 1.715e-05]  [235 -12 17]
