---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 39-3s 1.584e+01  [-164 5.794e-09 4.115e-10 3.023e-03]  [452 -5 42]
 ST 40-1  1.610e+01  [0 1.000e+00 7.273e-02 9.984e-06]  [764 -5 13]
 ST 40-2  1.620e+01  [-75 1.736e-04 1.263e-05 9.880e-06]  [816 -5 70]
 ST 40-3s 1.625e+01  [-166 4.996e-09 3.634e-10 3.438e-03]  [436 -3 44]
 ST 41-1  1.650e+01  [0 1.000e+00 7.083e-02 9.943e-06]  [798 -3 27]
 ST 41-2  1.659e+01  [-81 8.882e-05 6.291e-06 9.935e-06]  [844 -3 57]
 ST 41-3s 1.663e+01  [-168 3.735e-09 2.645e-10 4.724e-03]  [404 -4 41]
 ST 42-1  1.708e+01  [0 1.000e+00 7.324e-02 9.929e-06]  [744 -3 7]
 ST 42-2  1.715e+01  [-80 9.043e-05 6.623e-06 9.996e-06]  [796 -3 56]
 ST 42-3s 1.720e+01  [-166 4.546e-09 3.330e-10 3.681e-03]  [408 -5 45]
 ST 43-1  1.744e+01  [0 1.000e+00 7.227e-02 9.976e-06]  [724 -1 14]
 ST 43-2  1.751e+01  [-75 1.723e-04 1.245e-05 9.971e-06]  [760 -5 60]
 ST 43-3s 1.757e+01  [-165 5.233e-09 3.782e-10 3.307e-03]  [445 -4 45]
 ST 44-1  1.783e+01  [0 1.000e+00 7.474e-02 9.962e-06]  [738 -3 13]
 ST 44-2  1.789e+01  [-75 1.598e-04 1.194e-05 9.988e-06]  [784 -1 61]
 ST 44-3s 1.794e+01  [-165 5.476e-09 4.093e-10 3.039e-03]  [450 -5 42]
 ST 45-1  1.835e+01  [0 1.000e+00 7.647e-02 9.994e-06]  [777 -1 10]
 ST 45-2  1.843e+01  [-80 9.214e-05 7.046e-06 9.960e-06]  [827 -1 65]
 ST 45-3s 1.848e+01  [-168 3.748e-09 2.866e-10 4.363e-03]  [422 -2 44]
 ST 46-1  1.883e+01  [0 1.000e+00 7.649e-02 9.906e-06]  [822 0 11]
 ST 46-2  1.890e+01  [-82 7.723e-05 5.908e-06 9.928e-06]  [835 -3 58]
 ST 46-3s 1.896e+01  [-169 3.412e-09 2.610e-10 4.761e-03]  [414 -1 41]
 ST 47-1  1.918e+01  [0 1.000e+00 7.991e-02 9.997e-06]  [789 -2 17]
 ST 47-2  1.925e+01  [-79 1.073e-04 8.571e-06 9.951e-06]  [812 -5 54]
 ST 47-3s 1.929e+01  [-169 3.521e-09 2.814e-10 4.417e-03]  [414 -1 43]
 ST 48-1  1.951e+01  [0 1.000e+00 8.167e-02 9.913e-06]  [734 -2 19]
 ST 48-2  1.957e+01  [-80 9.144e-05 7.467e-06 9.909e-06]  [794 -2 56]
 ST 48-3s 1.963e+01  [-169 3.476e-09 2.839e-10 4.393e-03]  [398 -4 48]
 ST 49-1  1.986e+01  [0 1.000e+00 8.411e-02 9.917e-06]  [799 -3 18]
 ST 49-2  1.993e+01  [-82 7.143e-05 6.008e-06 9.945e-06]  [794 -2 64]
 ST 49-3s 1.998e+01  [-169 3.365e-09 2.831e-10 4.360e-03]  [412 -1 40]
 ST 50-1  2.034e+01  [0 1.000e+00 8.726e-02 9.926e-06]  [794 -2 11]
 ST 50-2  2.041e+01  [-80 8.978e-05 7.834e-06 9.813e-06]  [818 0 62]
 ST 50-3s 2.046e+01  [-170 3.139e-09 2.739e-10 4.533e-03]  [402 -4 41]
 ST 51-1  2.081e+01  [0 1.000e+00 8.996e-02 9.998e-06]  [773 0 14]
 ST 51-2  2.088e+01  [-78 1.206e-04 1.085e-05 9.973e-06]  [778 -1 64]
 ST 51-3s 2.093e+01  [-168 3.937e-09 3.541e-10 3.490e-03]  [416 -1 40]
 ST 52-1  2.131e+01  [0 1.000e+00 9.314e-02 9.956e-06]  [797 -3 10]
 ST 52-2  2.139e+01  [-81 8.500e-05 7.917e-06 9.871e-06]  [803 -3 67]
 ST 52-3s 2.144e+01  [-169 3.224e-09 3.003e-10 4.118e-03]  [406 -5 40]
 ST 53-1  2.164e+01  [0 1.000e+00 9.545e-02 9.932e-06]  [663 -5 16]
 ST 53-2  2.171e+01  [-81 8.267e-05 7.891e-06 9.992e-06]  [713 -6 59]
 ST 53-3s 2.176e+01  [-167 4.189e-09 3.999e-10 3.104e-03]  [424 -1 40]
 ST 54-1  2.205e+01  [0 1.000e+00 1.013e-01 9.999e-06]  [799 -3 14]
 ST 54-2  2.213e+01  [-80 9.640e-05 9.768e-06 9.945e-06]  [779 -1 65]
 ST 54-3s 2.218e+01  [-169 3.462e-09 3.508e-10 3.523e-03]  [415 -1 44]
 ST 55-1  2.253e+01  [0 1.000e+00 1.057e-01 9.928e-06]  [808 -4 13]
 ST 55-2  2.261e+01  [-78 1.185e-04 1.252e-05 9.925e-06]  [741 -4 66]
 ST 55-3s 2.266e+01  [-168 3.704e-09 3.916e-10 3.149e-03]  [413 -1 47]
 ST 56-1  2.285e+01  [0 1.000e+00 1.127e-01 9.980e-06]  [809 -4 21]
 ST 56-2  2.292e+01  [-78 1.195e-04 1.347e-05 9.961e-06]  [751 -4 59]
 ST 56-3s 2.298e+01  [-169 3.504e-09 3.949e-10 3.121e-03]  [415 -1 57]
 ST 57-1  2.351e+01  [0 1.000e+00 1.195e-01 9.944e-06]  [767 0 7]
 ST 57-2  2.360e+01  [-78 1.156e-04 1.382e-05 9.964e-06]  [733 -3 56]
 ST 57-3s 2.364e+01  [-167 4.322e-09 5.164e-10 2.413e-03]  [440 -4 41]
 ST 58-1  2.383e+01  [0 1.000e+00 1.278e-01 9.981e-06]  [729 -1 20]
 ST 58-2  2.389e+01  [-78 1.141e-04 1.459e-05 9.906e-06]  [710 -5 57]
 ST 58-3s 2.395e+01  [-167 4.259e-09 5.445e-10 2.288e-03]  [428 -3 53]
 ST 59-1  2.428e+01  [0 1.000e+00 1.363e-01 9.960e-06]  [764 -5 11]
 ST 59-2  2.435e+01  [-78 1.216e-04 1.658e-05 9.905e-06]  [724 -2 61]
 ST 59-3s 2.455e+01  [-168 3.828e-09 5.218e-10 2.367e-03]  [415 -1 11]
 ST 60-1  2.501e+01  [0 1.000e+00 1.463e-01 9.976e-06]  [762 -5 8]
 ST 60-2  2.508e+01  [-77 1.279e-04 1.872e-05 9.877e-06]  [725 -2 61]
 ST 60-3s 2.513e+01  [-167 4.059e-09 5.938e-10 2.087e-03]  [417 -2 42]
 ST 61-1  2.532e+01  [0 1.000e+00 1.567e-01 9.938e-06]  [741 -3 19]
 ST 61-2  2.539e+01  [-77 1.265e-04 1.981e-05 9.923e-06]  [747 -4 50]
 ST 61-3s 2.544e+01  [-166 4.843e-09 7.587e-10 1.646e-03]  [444 -5 43]
 ST 62-1  2.574e+01  [0 1.000e+00 1.679e-01 9.954e-06]  [718 0 15]
 ST 62-2  2.582e+01  [-78 1.217e-04 2.044e-05 9.978e-06]  [733 -3 49]
 ST 62-3s 2.586e+01  [-167 4.268e-09 7.168e-10 1.729e-03]  [425 -3 41]
 ST 63-1  2.617e+01  [0 1.000e+00 1.803e-01 9.905e-06]  [619 -1 15]
 ST 63-2  2.624e+01  [-78 1.164e-04 2.100e-05 9.976e-06]  [699 -3 59]
 ST 63-3s 2.629e+01  [-165 5.374e-09 9.691e-10 1.287e-03]  [478 -1 45]
 ST 64-1  2.657e+01  [0 1.000e+00 1.945e-01 9.928e-06]  [676 -1 12]
 ST 64-2  2.807e+01  [-78 1.137e-04 2.211e-05 9.895e-06]  [720 -1 3]
 ST 64-3s 2.812e+01  [-166 4.729e-09 9.197e-10 1.352e-03]  [484 -2 49]
 ST 65-1  2.845e+01  [0 1.000e+00 2.069e-01 9.945e-06]  [687 -2 10]
 ST 65-2  2.852e+01  [-78 1.230e-04 2.544e-05 9.991e-06]  [746 -4 56]
 ST 65-3s 2.857e+01  [-166 4.986e-09 1.032e-09 1.208e-03]  [474 -1 48]
 ST 66-1  2.891e+01  [0 1.000e+00 2.172e-01 9.929e-06]  [691 -2 10]
 ST 66-2  2.898e+01  [-78 1.155e-04 2.509e-05 9.922e-06]  [713 -6 55]
 ST 66-3s 2.903e+01  [-166 4.678e-09 1.016e-09 1.228e-03]  [485 -2 44]
 ST 67-1  2.923e+01  [0 1.000e+00 2.287e-01 9.938e-06]  [636 -3 15]
 ST 67-2  2.930e+01  [-78 1.141e-04 2.611e-05 9.932e-06]  [735 -3 59]
 ST 67-3s 2.936e+01  [-165 5.186e-09 1.186e-09 1.049e-03]  [488 -2 44]
 ST 68-1  2.961e+01  [0 1.000e+00 2.364e-01 9.899e-06]  [640 -3 13]
 ST 68-2  2.968e+01  [-78 1.217e-04 2.877e-05 9.939e-06]  [745 -3 57]
 ST 68-3s 2.973e+01  [-166 4.474e-09 1.057e-09 1.176e-03]  [420 -2 41]
 ST 69-1  2.996e+01  [0 1.000e+00 2.459e-01 9.955e-06]  [696 -3 18]
 ST 69-2  3.003e+01  [-77 1.311e-04 3.224e-05 9.974e-06]  [761 -5 58]
 ST 69-3s 3.008e+01  [-166 4.836e-09 1.189e-09 1.051e-03]  [457 -6 45]
 ST 70-1  3.038e+01  [0 1.000e+00 2.517e-01 9.935e-06]  [708 -5 12]
 ST 70-2  3.047e+01  [-77 1.383e-04 3.482e-05 9.974e-06]  [750 -4 52]
 ST 70-3s 3.053e+01  [-166 4.566e-09 1.149e-09 1.080e-03]  [443 -5 45]
 ST 71-1  3.076e+01  [0 1.000e+00 2.578e-01 9.994e-06]  [675 -1 15]
 ST 71-2  3.088e+01  [-77 1.386e-04 3.573e-05 9.925e-06]  [741 -3 36]
 ST 71-3s 3.093e+01  [-167 4.082e-09 1.052e-09 1.171e-03]  [416 -1 42]
