---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 37-3  2.868e+02  [-63 6.993e-04 1.074e-01 9.995e-06]  [3793 0 75]
 ST 37-4s 2.893e+02  [-118 1.238e-06 1.901e-04 9.998e-06]  [6969 0 84]
 ST 38-1  2.914e+02  [0 1.000e+00 5.359e+01 9.967e-06]  [1464 -1 21]
 ST 38-2  2.939e+02  [-34 1.908e-02 1.023e+00 9.996e-06]  [6808 0 85]
 ST 38-3  2.956e+02  [-69 3.455e-04 1.852e-02 9.980e-06]  [4247 0 78]
 ST 38-4s 2.983e+02  [-122 7.693e-07 4.123e-05 2.015e-05]  [7282 0 86]
 ST 39-1  3.005e+02  [0 1.000e+00 6.141e+01 9.660e-06]  [1676 -3 25]
 ST 39-2  3.025e+02  [-41 8.561e-03 5.257e-01 9.948e-06]  [5063 -1 81]
 ST 39-3  3.046e+02  [-72 2.289e-04 1.406e-02 9.990e-06]  [4895 -1 80]
 ST 39-4s 3.071e+02  [-128 3.976e-07 2.442e-05 3.405e-05]  [6725 0 84]
 ST 40-1  3.099e+02  [0 1.000e+00 2.798e+01 9.966e-06]  [2916 0 32]
 ST 40-2  3.124e+02  [-41 8.339e-03 2.333e-01 9.988e-06]  [7025 0 85]
 ST 40-3  3.159e+02  [-80 9.710e-05 2.717e-03 9.971e-06]  [4270 0 90]
 ST 40-4s 3.177e+02  [-134 1.856e-07 5.192e-06 1.597e-04]  [4677 0 79]
 ST 41-1  3.197e+02  [0 1.000e+00 2.676e+01 9.995e-06]  [1726 -1 27]
 ST 41-2  3.220e+02  [-47 4.142e-03 1.109e-01 9.978e-06]  [6390 0 84]
 ST 41-3  3.234e+02  [-87 4.249e-05 1.137e-03 9.993e-06]  [3246 0 73]
 ST 41-4s 3.250e+02  [-143 7.049e-08 1.887e-06 4.408e-04]  [4398 0 77]
 ST 42-1  3.271e+02  [0 1.000e+00 1.644e+01 9.926e-06]  [2016 -3 28]
 ST 42-2  3.295e+02  [-47 4.078e-03 6.702e-02 9.999e-06]  [6987 -1 86]
 ST 42-3  3.307e+02  [-91 2.609e-05 4.287e-04 9.964e-06]  [2553 0 68]
 ST 42-4s 3.320e+02  [-147 4.028e-08 6.619e-07 1.256e-03]  [3529 0 74]
 ST 43-1  3.340e+02  [0 1.000e+00 1.432e+01 1.000e-05]  [1805 0 28]
 ST 43-2  3.365e+02  [-51 2.647e-03 3.790e-02 9.992e-06]  [6916 0 85]
 ST 43-3  3.375e+02  [-97 1.376e-05 1.970e-04 9.397e-06]  [2034 -5 63]
 ST 43-4s 3.387e+02  [-154 1.879e-08 2.691e-07 3.089e-03]  [2695 -1 68]
 ST 44-1  3.408e+02  [0 1.000e+00 1.050e+01 9.976e-06]  [2195 0 31]
 ST 44-2  3.433e+02  [-51 2.752e-03 2.890e-02 9.991e-06]  [6764 0 85]
 ST 44-3  3.442e+02  [-99 1.035e-05 1.086e-04 9.860e-06]  [1949 -2 63]
 ST 44-4s 3.452e+02  [-157 1.302e-08 1.367e-07 6.083e-03]  [2043 0 64]
 ST 45-1  3.473e+02  [0 1.000e+00 8.504e+00 9.912e-06]  [2087 -3 31]
 ST 45-2  3.510e+02  [-51 2.731e-03 2.322e-02 9.999e-06]  [6101 0 49]
 ST 45-3s 3.519e+02  [-102 7.656e-06 6.510e-05 1.277e-05]  [1751 -2 59]
 ST 46-1  3.547e+02  [0 1.000e+00 6.193e+00 9.990e-06]  [4323 -1 48]
 ST 46-2  3.568e+02  [-47 4.146e-03 2.568e-02 9.995e-06]  [5936 0 83]
 ST 46-3s 3.578e+02  [-102 7.595e-06 4.704e-05 1.768e-05]  [2130 0 64]
 ST 47-1  3.606e+02  [0 1.000e+00 4.123e+00 9.946e-06]  [3638 -1 41]
 ST 47-2  3.626e+02  [-42 7.874e-03 3.247e-02 9.995e-06]  [5431 0 82]
 ST 47-3s 3.635e+02  [-102 7.340e-06 3.026e-05 2.743e-05]  [2049 0 63]
 ST 48-1  3.666e+02  [0 1.000e+00 2.647e+00 9.997e-06]  [4788 -1 48]
 ST 48-2  3.685e+02  [-39 1.119e-02 2.961e-02 9.999e-06]  [5010 0 81]
 ST 48-3s 3.695e+02  [-105 5.470e-06 1.448e-05 5.717e-05]  [2256 -1 65]
 ST 49-1  3.722e+02  [0 1.000e+00 2.689e+00 9.963e-06]  [3871 -1 43]
 ST 49-2  3.741e+02  [-53 2.055e-03 5.528e-03 9.995e-06]  [5283 0 81]
 ST 49-3s 3.751e+02  [-118 1.188e-06 3.195e-06 2.603e-04]  [2230 -1 64]
 ST 50-1  3.780e+02  [0 1.000e+00 1.598e+00 9.998e-06]  [4639 -1 49]
 ST 50-2  3.797e+02  [-44 6.040e-03 9.649e-03 9.997e-06]  [4581 -1 80]
 ST 50-3s 3.806e+02  [-113 2.135e-06 3.411e-06 2.434e-04]  [1935 -1 64]
 ST 51-1  3.852e+02  [0 1.000e+00 1.556e+00 9.987e-06]  [5092 -1 34]
 ST 51-2  3.869e+02  [-49 3.274e-03 5.096e-03 1.000e-05]  [4255 0 78]
 ST 51-3s 3.878e+02  [-119 1.011e-06 1.573e-06 5.272e-04]  [1715 -1 59]
 ST 52-1  3.907e+02  [0 1.000e+00 9.867e-01 9.986e-06]  [4807 0 49]
